name,pick_count,ban_count,pick_rate,ban_rate,win_rate,dragon_kill_rate,baron_kill_rate,best_role
Rammus,2418,1407,0.05524836631174885,0.032148242928300506,0.4495450785773367,1.2473118279569892,0.4234904880066169,Jungle
Malphite,2149,411,0.04910204268153361,0.009390851345793538,0.501628664495114,1.3950674732433692,0.4276407631456491,Top
Shyvana,2061,322,0.04709134944934424,0.007357309326874744,0.5351770984958758,1.93110140708394,0.4269771955361475,Jungle
Urgot,2074,3854,0.04738838367682676,0.08805922405520268,0.5612343297974928,1.3693346190935392,0.3746383799421408,Top
Taric,2206,166,0.05040442352511082,0.0037928985970844954,0.4016319129646419,1.3490480507706255,0.3961922030825023,Support
Rengar,1824,508,0.041676186994470586,0.01160718365854773,0.5427631578947368,1.3497807017543861,0.3481359649122807,Jungle
LeBlanc,1882,3128,0.04300141662477722,0.07147100488964038,0.5595111583421891,1.330499468650372,0.3660998937300744,Middle
Hecarim,1723,567,0.0393684595347987,0.012955262075583786,0.5774811375507836,1.3081834010446896,0.3905977945443993,Jungle
Zyra,2095,845,0.047868208198144684,0.019307224786363843,0.3107398568019093,1.5183770883054892,0.435799522673031,Support
Wukong,1887,304,0.04311566055842435,0.006946031165745099,0.4059353471118177,1.4112347641759406,0.3985161632220456,Jungle
Taliyah,1734,233,0.039619796188822366,0.005323767307955947,0.5046136101499423,1.3944636678200693,0.38696655132641294,Jungle
Amumu,1988,498,0.045423388018096235,0.011378695791253484,0.5186116700201208,1.3495975855130784,0.3732394366197183,Jungle
Kennen,1594,608,0.03642096604670292,0.013892062331490198,0.4780426599749059,1.3619824341279798,0.3795483061480552,Top
Kayle,1739,568,0.0397340401224695,0.012978110862313213,0.5106382978723404,1.2581943645773432,0.4088556641748131,Top
Kled,1513,1328,0.034570214321619525,0.030343188776675963,0.5855915399867813,1.4005287508261732,0.3734302709847984,Top
Poppy,1616,130,0.036923639354750265,0.0029703422748252072,0.5030940594059405,1.3706683168316829,0.3681930693069307,Top
Sion,1803,100,0.041196362473152684,0.002284878672942467,0.4170826400443705,1.3544093178036605,0.3826955074875208,Top
Rumble,1334,265,0.030480281497052505,0.006054928483297537,0.6679160419790104,1.4722638680659668,0.4295352323838081,Middle
Xerath,1462,175,0.03340492619841886,0.003998537677649317,0.4712722298221614,1.3707250341997264,0.3864569083447332,Support
Trundle,1650,207,0.0377004981035507,0.004729698852990906,0.4793939393939394,1.363030303030303,0.3830303030303031,Jungle
Nautilus,1822,166,0.04163048942101175,0.0037928985970844954,0.420417124039517,1.3666300768386388,0.3693743139407245,Support
Olaf,1350,335,0.0308458620847233,0.0076543435543572624,0.5407407407407407,1.4466666666666668,0.3896296296296296,Jungle
Viktor,1492,105,0.0340903898003016,0.0023991226065895907,0.4664879356568365,1.3176943699731904,0.3934316353887399,Middle
Heimerdinger,1444,598,0.03299364803728922,0.013663574464195952,0.489612188365651,1.417590027700831,0.4584487534626039,ADC
Camille,1589,1498,0.036306722113055793,0.03422748252067815,0.4808055380742605,1.3008181246066708,0.3574575204531152,Top
Fiddlesticks,1471,232,0.03361056527898368,0.005300918521226523,0.5989123045547247,1.4690686607749832,0.3942895989123045,Support
Tahm Kench,1459,380,0.03333637983823059,0.008682538957181374,0.4557916381082934,1.3666895133653187,0.3721727210418095,Support
Evelynn,1373,1224,0.03137138417950007,0.027966914956815792,0.4639475600873999,1.2265112891478511,0.36489439184268013,Jungle
Nocturne,1475,249,0.03370196042590139,0.005689347895626742,0.41084745762711866,1.4752542372881357,0.3905084745762712,Jungle
Nidalee,1437,192,0.03283370653018325,0.004386967052049536,0.45372303409881704,1.2748782185107863,0.3430758524704245,Jungle
Graves,1271,205,0.029040807933098756,0.004684001279532057,0.5727773406766326,1.3650668764752163,0.3752950432730134,Jungle
Illaoi,1286,2731,0.029383539734040124,0.062400036558058765,0.5186625194401244,1.4712286158631416,0.3685847589424573,Top
Rek'Sai,1280,302,0.029246447013663576,0.006900333592286249,0.49375,1.3921875,0.40390625,Jungle
Azir,1116,363,0.02549924599003793,0.008294109582781154,0.6039426523297491,1.232078853046595,0.35304659498207885,Middle
Dr. Mundo,1308,546,0.029886213042087464,0.012475437554265868,0.5022935779816514,1.4587155963302751,0.3830275229357798,Jungle
Yorick,1193,431,0.02725860256820363,0.009847827080382029,0.4610226320201173,1.4484492875104775,0.3721709974853311,Top
Swain,1306,401,0.02984051546862862,0.009162363478499292,0.4823889739663094,1.475497702909648,0.4150076569678408,Support
Zilean,1249,159,0.028538134625051413,0.003632957089978522,0.3771016813450761,1.3162530024019214,0.36188951160928745,Support
Quinn,1089,253,0.024882328748343462,0.005780743042544441,0.5803489439853077,1.4903581267217632,0.3764921946740129,Top
Singed,1185,442,0.02707581227436823,0.0100991637344057,0.3822784810126582,1.4362869198312236,0.34767932489451475,Top
Udyr,934,71,0.02134076680528264,0.0016222638577891516,0.6413276231263383,1.6017130620985012,0.386509635974304,Jungle
Volibear,1045,152,0.023876982132248776,0.0034730155828725496,0.4698564593301435,1.4507177033492824,0.3923444976076555,Jungle
Kindred,972,137,0.022209020701000774,0.0031302837819311797,0.5277777777777778,1.4197530864197532,0.382716049382716,Jungle
Lissandra,963,158,0.022003381620435955,0.0036101083032490976,0.4610591900311526,1.3354101765316722,0.343717549325026,Middle
Mordekaiser,1030,194,0.023534250331307408,0.004432664625508386,0.5563106796116505,1.541747572815534,0.4242718446601942,Top
Nunu,1151,364,0.026298953525567798,0.00831695836951058,0.4578627280625543,1.7054735013032143,0.5021720243266724,Jungle
Ryze,870,84,0.01987844445459946,0.001919298085271672,0.35977011494252875,1.313793103448276,0.3195402298850575,Middle
Aatrox,661,582,0.015103048028149706,0.013297993876525156,0.5446293494704992,1.4508320726172466,0.3827534039334342,Top
Karthus,854,109,0.019512863866928663,0.002490517753507289,0.5035128805620609,1.4613583138173305,0.3992974238875878,Jungle
Aurelion Sol,672,370,0.015354384682173376,0.008454051089887126,0.6086309523809523,1.4345238095238095,0.4434523809523809,Middle
Ivern,888,559,0.020289722615729103,0.012772471781748387,0.2668918918918919,1.0990990990990992,0.3141891891891892,Jungle
Skarner,479,59,0.010944568843394415,0.0013480784170360554,0.7620041753653445,1.488517745302714,0.453027139874739,Jungle
